Date,Open,High,Low,Close,Volume,Adj Close
1989-09-28,322.679993,325.470001,322.23999,325.470001,328480000,162.735001
1989-09-27,322.269989,323.079987,320.73999,322.679993,316800000,161.339996
1989-09-26,321.890015,324.970001,321.890015,322.269989,316700000,161.134995
1989-09-25,324.679993,324.679993,321.269989,321.890015,242260000,160.945007
1989-09-22,323.269989,325.230011,323.179993,324.679993,266700000,162.339996
1989-09-21,323.709991,326.170013,322.410004,323.269989,293860000,161.634995
1989-09-20,323.890015,324.559998,323.429993,323.709991,273280000,161.854996
1989-09-19,324.350006,325.640015,323.869995,323.890015,283220000,161.945007
1989-09-18,323.040009,324.540009,322.570007,324.350006,273880000,162.175003
1989-09-15,320.779999,323.040009,319.160004,323.040009,469720000,161.520004
1989-09-14,321.959991,322.190002,319.649994,320.779999,298500000,160.389999
1989-09-13,325.790009,327.279999,321.959991,321.959991,350660000,160.979996
1989-09-12,324.690002,326.720001,324.380005,325.790009,284280000,162.895004
1989-09-11,324.859985,325.109985,322.519989,324.690002,252040000,162.345001
1989-09-08,324.619995,325.48999,322.160004,324.859985,308180000,162.429993
1989-09-07,325.540009,326.690002,324.399994,324.619995,320320000,162.309998
1989-09-06,328.51001,328.51001,324.380005,325.540009,323600000,162.770004
1989-09-05,329.549988,330.540009,327.859985,328.51001,290360000,164.255005
1989-09-01,327.190002,330.01001,326.73999,329.549988,266600000,164.774994
1989-08-31,326.700012,327.200012,326.019989,327.190002,289640000,163.595001
1989-08-30,325.369995,328.140015,324.600006,326.700012,348700000,163.350006
1989-08-29,328.290009,328.309998,324.649994,325.369995,350420000,162.684998
1989-08-28,326.709991,328.290009,325.179993,328.290009,262360000,164.145004
1989-08-25,327.640015,328.820007,326.220001,326.709991,331860000,163.354996
1989-08-24,320.730011,327.679993,320.730011,327.640015,451040000,163.820007
1989-08-23,317.529999,320.890015,317.529999,320.730011,319280000,160.365005
1989-08-22,316.980011,317.700012,315.359985,317.529999,283860000,158.764999
1989-08-21,322.25,322.570007,316.959991,316.980011,273600000,158.490005
1989-08-18,320.779999,322.25,320.119995,322.25,291620000,161.125
1989-08-17,321.809998,322.470001,319.25,320.779999,315120000,160.389999
1989-08-16,321.140015,322.609985,321.140015,321.809998,300120000,160.904999
1989-08-15,318.970001,321.149994,318.970001,321.140015,297540000,160.570007
1989-08-14,319.859985,321.100006,317.579987,318.970001,284020000,159.485001
1989-08-11,323.420013,326.440002,319.230011,319.899994,395100000,159.949997
1989-08-10,321.850006,325.380005,320.609985,323.410004,397320000,161.705002
1989-08-09,324.279999,326.269989,321.869995,321.929993,419800000,160.964996
1989-08-08,324.519989,325.220001,323.470001,324.279999,400680000,162.139999
1989-08-07,318.660004,324.519989,318.600006,324.519989,395160000,162.259995
1989-08-04,318.890015,319.940002,317.119995,318.660004,339500000,159.330002
1989-08-03,318.769989,319.440002,318.070007,318.890015,337380000,159.445007
1989-08-02,317.929993,318.959991,316.690002,318.769989,363520000,159.384995
1989-08-01,321.440002,323.220001,317.380005,317.929993,450560000,158.964996
1989-07-31,317.660004,321.440002,317.570007,321.440002,333300000,160.720001
1989-07-28,318.089996,318.890015,317.029999,317.660004,361220000,158.830002
1989-07-27,313.959991,319.890015,313.959991,318.089996,427360000,159.044998
1989-07-26,310.160004,314.089996,309.109985,313.959991,376540000,156.979996
1989-07-25,310.48999,313.190002,308.839996,310.160004,358540000,155.080002
1989-07-24,313.359985,313.359985,310.329987,310.48999,272520000,155.244995
1989-07-21,310.059998,313.459991,308.859985,313.459991,349760000,156.729996
1989-07-20,311.600006,314.049988,309.570007,310.079987,409180000,155.039993
1989-07-19,306.940002,311.609985,306.910004,311.609985,431480000,155.804993
1989-07-18,307.910004,307.910004,306.369995,306.910004,304700000,153.455002
1989-07-17,307.079987,308.589996,306.480011,307.910004,263920000,153.955002
1989-07-14,305.519989,307.279999,302.529999,307.179993,366960000,153.589996
1989-07-13,305.480011,306.190002,304.589996,305.48999,307640000,152.744995
1989-07-12,304.410004,306.200012,303.51001,305.480011,321100000,152.740005
1989-07-11,302.880005,305.980011,302.880005,304.410004,343180000,152.205002
1989-07-10,300.839996,302.880005,300.790009,302.880005,263740000,151.440002
1989-07-07,297.589996,301.820007,296.910004,300.790009,332860000,150.395004
1989-07-06,297.140015,297.929993,296.470001,297.589996,280900000,148.794998
1989-07-05,296.130005,297.809998,294.140015,297.140015,255420000,148.570007
1989-07-03,295.00,296.320007,294.309998,296.130005,137740000,148.065002
1989-06-30,296.950012,297.200012,291.880005,294.880005,340980000,147.440002
1989-06-29,302.51001,302.519989,296.679993,296.950012,334200000,148.475006
1989-06-28,304.640015,304.649994,300.899994,302.51001,316940000,151.255005
1989-06-27,302.529999,305.579987,302.470001,304.640015,342180000,152.320007
1989-06-26,302.630005,303.970001,302.079987,302.529999,287200000,151.264999
1989-06-23,298.160004,303.459991,298.160004,303.459991,397440000,151.729996
1989-06-22,297.440002,298.459991,296.940002,298.160004,353020000,149.080002
1989-06-21,298.440002,299.00,296.329987,297.440002,337660000,148.720001
1989-06-20,298.959991,300.059998,298.130005,298.440002,335300000,149.220001
1989-06-19,298.23999,298.980011,297.390015,298.980011,261440000,149.490005
1989-06-16,296.329987,298.290009,295.100006,298.23999,489020000,149.119995
1989-06-15,299.839996,299.839996,295.299988,296.390015,358960000,148.195007
1989-06-14,300.019989,301.089996,298.559998,299.839996,341080000,149.919998
1989-06-13,301.98999,301.98999,299.059998,300.019989,329740000,150.009995
1989-06-12,302.320007,302.329987,299.299988,301.98999,302920000,150.994995
1989-06-09,302.570007,303.519989,300.899994,302.320007,346480000,151.160004
1989-06-08,303.410004,303.75,302.029999,302.570007,424620000,151.285004
1989-06-07,301.75,303.869995,301.730011,303.410004,427420000,151.705002
1989-06-06,299.779999,302.170013,298.880005,301.75,375140000,150.875
1989-06-05,303.279999,303.450012,299.73999,299.779999,326840000,149.889999
1989-06-02,299.959991,303.320007,299.959991,303.279999,458280000,151.639999
1989-06-01,298.350006,300.609985,298.029999,299.959991,446320000,149.979996
1989-05-31,297.529999,299.48999,296.880005,298.350006,325060000,149.175003
1989-05-30,300.040009,301.089996,296.170013,297.529999,303560000,148.764999
1989-05-26,297.730011,300.040009,297.679993,300.040009,286240000,150.020004
1989-05-25,298.049988,298.529999,297.209991,297.730011,308940000,148.865005
1989-05-24,297.619995,298.429993,296.660004,298.049988,357200000,149.024994
1989-05-23,301.549988,301.559998,297.399994,297.619995,375380000,148.809998
1989-05-22,301.040009,302.880005,300.00,301.549988,370020000,150.774994
1989-05-19,297.649994,301.040009,297.649994,301.040009,484820000,150.520004
1989-05-18,296.910004,298.279999,295.959991,297.649994,354960000,148.824997
1989-05-17,294.779999,297.559998,294.559998,296.910004,382420000,148.455002
1989-05-16,295.600006,295.700012,294.559998,294.779999,346200000,147.389999
1989-05-15,293.410004,295.600006,293.25,295.600006,358700000,147.800003
1989-05-12,286.670013,293.410004,286.670013,293.410004,442980000,146.705002
1989-05-11,285.809998,287.079987,285.76001,286.670013,303240000,143.335007
1989-05-10,285.049988,286.320007,284.769989,285.809998,292000000,142.904999
1989-05-09,285.720001,286.820007,283.880005,285.049988,300180000,142.524994
1989-05-08,287.130005,287.130005,284.179993,285.720001,270260000,142.860001
1989-05-05,288.200012,290.410004,286.359985,287.130005,361620000,143.565002
1989-05-04,288.730011,288.839996,287.630005,288.200012,306260000,144.100006
1989-05-03,289.100006,289.320007,287.970001,288.730011,343380000,144.365005
1989-05-02,290.179993,291.709991,289.089996,289.100006,345120000,144.550003
1989-05-01,291.089996,291.089996,288.820007,290.160004,276100000,145.080002
1989-04-28,291.220001,291.529999,290.079987,291.089996,316780000,145.544998
1989-04-27,289.200012,292.380005,289.200012,291.220001,382340000,145.610001
1989-04-26,289.059998,289.559998,288.029999,289.200012,292180000,144.600006
1989-04-25,291.059998,292.160004,289.01001,289.019989,330860000,144.509995
1989-04-24,292.230011,292.230011,290.089996,291.059998,284200000,145.529999
1989-04-21,287.859985,292.230011,287.859985,292.230011,374620000,146.115005
1989-04-20,288.76001,289.76001,286.140015,287.859985,351940000,143.929993
1989-04-19,288.160004,289.549988,287.369995,288.76001,383020000,144.380005
1989-04-18,282.98999,288.269989,282.98999,288.160004,417300000,144.080002
1989-04-17,282.480011,283.470001,281.890015,282.98999,257080000,141.494995
1989-04-14,277.049988,282.519989,277.049988,282.480011,339560000,141.240005
1989-04-13,279.279999,279.279999,276.839996,277.049988,283180000,138.524994
1989-04-12,279.140015,280.369995,279.109985,279.279999,330400000,139.639999
1989-04-11,277.950012,279.390015,277.820007,279.140015,293660000,139.570007
1989-04-10,278.200012,279.019989,277.709991,277.940002,247980000,138.970001
1989-04-07,276.269989,278.619995,275.299988,278.200012,313900000,139.100006
1989-04-06,277.450012,277.470001,275.670013,276.269989,293060000,138.134995
1989-04-05,276.630005,277.790009,276.48999,277.450012,331760000,138.725006
1989-04-04,277.50,277.50,275.660004,276.630005,321360000,138.315002
1989-04-03,276.589996,278.380005,276.25,277.470001,329320000,138.735001
1989-03-31,274.940002,277.070007,274.940002,276.589996,341920000,138.294998
1989-03-30,275.040009,276.329987,273.959991,274.940002,319900000,137.470001
1989-03-29,274.579987,275.75,274.160004,275.040009,288480000,137.520004
1989-03-28,273.799988,275.50,273.799988,274.579987,292840000,137.289993
1989-03-27,272.269989,273.799988,271.200012,273.799988,225920000,136.899994
1989-03-23,274.119995,275.049988,271.920013,272.269989,307500000,136.134995
1989-03-22,275.149994,275.420013,273.269989,274.119995,293140000,137.059998
1989-03-21,274.269989,276.50,274.269989,275.149994,284020000,137.574997
1989-03-20,278.00,278.00,273.040009,274.269989,302520000,137.134995
1989-03-17,284.75,284.75,275.600006,278.00,485800000,139.00
1989-03-16,281.089996,284.799988,281.070007,284.75,392080000,142.375
1989-03-15,279.720001,281.290009,279.720001,281.089996,334140000,140.544998
1989-03-14,279.869995,280.980011,279.170013,279.720001,279940000,139.860001
1989-03-13,276.980011,280.829987,276.959991,279.869995,280920000,139.934998
1989-03-10,278.359985,278.359985,275.649994,276.980011,293660000,138.490005
1989-03-09,278.619995,279.290009,278.269989,278.359985,286320000,139.179993
1989-03-08,278.369995,280.230011,277.959991,278.619995,335240000,139.309998
1989-03-07,279.369995,279.850006,277.950012,278.369995,345000000,139.184998
1989-03-06,276.070007,279.339996,276.070007,279.299988,337760000,139.649994
1989-03-03,275.029999,276.070007,274.380005,276.070007,303580000,138.035004
1989-03-02,272.290009,275.470001,272.290009,275.029999,323960000,137.514999
1989-03-01,274.040009,275.589996,271.420013,272.290009,354420000,136.145004
1989-02-28,273.329987,274.799988,272.890015,274.040009,294860000,137.020004
1989-02-27,272.040009,273.779999,271.390015,273.329987,279800000,136.664993
